,t-3,t-2,t-1,DewPointC,cloudcover,windspeedKmph,humidity,pressure,winddirDegree,WindGustKmph,tempC,precipMM
01-01-2009,3.40,3.10,0.60,23.00,57.00,9.00,88.00,1008.00,249.00,13.00,27.00,13.50
02-01-2009,3.10,0.60,13.50,23.00,50.00,10.00,89.00,1009.00,246.00,15.00,26.00,7.70
03-01-2009,0.60,13.50,7.70,22.00,18.00,12.00,85.00,1009.00,253.00,17.00,27.00,0.40
04-01-2009,13.50,7.70,0.40,22.00,33.00,12.00,87.00,1009.00,264.00,18.00,27.00,2.60
05-01-2009,7.70,0.40,2.60,22.00,31.00,11.00,82.00,1009.00,265.00,15.00,28.00,0.90
06-01-2009,0.40,2.60,0.90,22.00,19.00,11.00,82.00,1009.00,267.00,16.00,29.00,1.10
07-01-2009,2.60,0.90,1.10,23.00,45.00,8.00,85.00,1010.00,279.00,11.00,27.00,2.70
08-01-2009,0.90,1.10,2.70,23.00,54.00,9.00,90.00,1011.00,260.00,13.00,25.00,7.40
09-01-2009,1.10,2.70,7.40,22.00,79.00,12.00,92.00,1011.00,263.00,19.00,24.00,18.10
10-01-2009,2.70,7.40,18.10,22.00,36.00,13.00,86.00,1010.00,263.00,19.00,27.00,2.80
11-01-2009,7.40,18.10,2.80,22.00,55.00,15.00,89.00,1010.00,266.00,22.00,26.00,8.60
12-01-2009,18.10,2.80,8.60,22.00,46.00,9.00,87.00,1011.00,280.00,13.00,27.00,1.80
13-01-2009,2.80,8.60,1.80,22.00,65.00,7.00,90.00,1012.00,273.00,11.00,25.00,3.90
14-01-2009,8.60,1.80,3.90,22.00,44.00,10.00,87.00,1011.00,298.00,14.00,27.00,4.20
15-01-2009,1.80,3.90,4.20,22.00,59.00,13.00,89.00,1012.00,269.00,19.00,26.00,6.90
16-01-2009,3.90,4.20,6.90,22.00,45.00,14.00,88.00,1012.00,267.00,21.00,26.00,3.80
17-01-2009,4.20,6.90,3.80,22.00,34.00,12.00,87.00,1011.00,271.00,17.00,27.00,2.60
18-01-2009,6.90,3.80,2.60,22.00,26.00,10.00,86.00,1010.00,284.00,14.00,27.00,2.50
19-01-2009,3.80,2.60,2.50,23.00,27.00,10.00,86.00,1010.00,291.00,14.00,27.00,1.90
20-01-2009,2.60,2.50,1.90,23.00,30.00,7.00,87.00,1009.00,270.00,10.00,27.00,4.30
21-01-2009,2.50,1.90,4.30,23.00,42.00,6.00,87.00,1009.00,311.00,8.00,27.00,2.00
22-01-2009,1.90,4.30,2.00,23.00,26.00,7.00,86.00,1009.00,276.00,10.00,28.00,2.90
23-01-2009,4.30,2.00,2.90,23.00,33.00,4.00,86.00,1009.00,293.00,6.00,29.00,3.00
24-01-2009,2.00,2.90,3.00,23.00,43.00,7.00,89.00,1009.00,295.00,11.00,27.00,7.80
25-01-2009,2.90,3.00,7.80,23.00,40.00,9.00,89.00,1009.00,285.00,13.00,27.00,5.30
26-01-2009,3.00,7.80,5.30,23.00,63.00,8.00,91.00,1009.00,263.00,12.00,27.00,22.30
27-01-2009,7.80,5.30,22.30,23.00,57.00,12.00,90.00,1009.00,270.00,18.00,27.00,8.80
28-01-2009,5.30,22.30,8.80,23.00,67.00,11.00,91.00,1008.00,257.00,18.00,26.00,17.60
29-01-2009,22.30,8.80,17.60,23.00,66.00,9.00,92.00,1009.00,254.00,15.00,26.00,16.20
30-01-2009,8.80,17.60,16.20,23.00,73.00,9.00,93.00,1008.00,246.00,13.00,25.00,30.60
31-01-2009,17.60,16.20,30.60,23.00,84.00,5.00,93.00,1009.00,229.00,7.00,25.00,22.70
01-02-2009,16.20,30.60,22.70,23.00,62.00,7.00,90.00,1010.00,251.00,11.00,26.00,10.10
02-02-2009,30.60,22.70,10.10,23.00,73.00,9.00,92.00,1009.00,254.00,13.00,26.00,25.00
03-02-2009,22.70,10.10,25.00,23.00,71.00,16.00,92.00,1009.00,258.00,25.00,26.00,14.80
04-02-2009,10.10,25.00,14.80,22.00,47.00,18.00,88.00,1009.00,263.00,28.00,27.00,4.90
05-02-2009,25.00,14.80,4.90,22.00,30.00,16.00,86.00,1008.00,273.00,24.00,27.00,3.10
06-02-2009,14.80,4.90,3.10,22.00,34.00,16.00,85.00,1007.00,282.00,24.00,27.00,4.50
07-02-2009,4.90,3.10,4.50,23.00,40.00,15.00,87.00,1007.00,286.00,21.00,28.00,2.90
08-02-2009,3.10,4.50,2.90,23.00,33.00,13.00,86.00,1008.00,330.00,20.00,27.00,0.70
09-02-2009,4.50,2.90,0.70,23.00,46.00,10.00,86.00,1009.00,255.00,14.00,28.00,3.60
10-02-2009,2.90,0.70,3.60,23.00,29.00,6.00,87.00,1010.00,273.00,8.00,28.00,4.30
11-02-2009,0.70,3.60,4.30,23.00,53.00,11.00,91.00,1009.00,250.00,17.00,26.00,10.30
12-02-2009,3.60,4.30,10.30,22.00,62.00,13.00,92.00,1009.00,261.00,19.00,26.00,6.40
13-02-2009,4.30,10.30,6.40,22.00,45.00,15.00,88.00,1009.00,262.00,21.00,26.00,3.00
14-02-2009,10.30,6.40,3.00,22.00,42.00,11.00,88.00,1009.00,275.00,17.00,27.00,1.30
15-02-2009,6.40,3.00,1.30,23.00,60.00,12.00,89.00,1008.00,270.00,18.00,27.00,5.90
16-02-2009,3.00,1.30,5.90,23.00,42.00,8.00,89.00,1009.00,279.00,13.00,26.00,3.00
17-02-2009,1.30,5.90,3.00,23.00,63.00,6.00,89.00,1009.00,234.00,9.00,28.00,10.80
18-02-2009,5.90,3.00,10.80,23.00,63.00,6.00,88.00,1009.00,249.00,9.00,27.00,14.80
19-02-2009,3.00,10.80,14.80,22.00,26.00,7.00,84.00,1009.00,259.00,10.00,28.00,2.40
20-02-2009,10.80,14.80,2.40,22.00,31.00,6.00,85.00,1009.00,251.00,9.00,28.00,3.70
21-02-2009,14.80,2.40,3.70,23.00,49.00,8.00,89.00,1009.00,258.00,11.00,27.00,4.10
22-02-2009,2.40,3.70,4.10,23.00,52.00,9.00,89.00,1008.00,259.00,13.00,27.00,5.50
23-02-2009,3.70,4.10,5.50,23.00,46.00,8.00,91.00,1008.00,248.00,12.00,27.00,6.80
24-02-2009,4.10,5.50,6.80,23.00,48.00,9.00,91.00,1008.00,252.00,13.00,27.00,7.30
25-02-2009,5.50,6.80,7.30,23.00,53.00,10.00,91.00,1008.00,265.00,15.00,27.00,12.80
26-02-2009,6.80,7.30,12.80,23.00,58.00,9.00,91.00,1008.00,264.00,15.00,27.00,13.80
27-02-2009,7.30,12.80,13.80,24.00,54.00,7.00,89.00,1008.00,265.00,10.00,28.00,10.50
28-02-2009,12.80,13.80,10.50,24.00,51.00,7.00,89.00,1007.00,238.00,11.00,28.00,7.70
01-03-2009,13.80,10.50,7.70,24.00,38.00,6.00,87.00,1007.00,263.00,9.00,29.00,3.70
02-03-2009,10.50,7.70,3.70,23.00,44.00,5.00,86.00,1008.00,197.00,7.00,29.00,4.20
03-03-2009,7.70,3.70,4.20,24.00,34.00,5.00,87.00,1008.00,190.00,8.00,28.00,4.00
04-03-2009,3.70,4.20,4.00,23.00,61.00,4.00,91.00,1009.00,126.00,6.00,26.00,10.80
05-03-2009,4.20,4.00,10.80,23.00,78.00,6.00,90.00,1010.00,241.00,9.00,26.00,8.60
06-03-2009,4.00,10.80,8.60,22.00,67.00,7.00,92.00,1010.00,234.00,11.00,24.00,7.20
07-03-2009,10.80,8.60,7.20,23.00,40.00,5.00,85.00,1010.00,192.00,7.00,28.00,2.40
08-03-2009,8.60,7.20,2.40,24.00,42.00,6.00,90.00,1010.00,195.00,9.00,28.00,7.10
09-03-2009,7.20,2.40,7.10,23.00,24.00,7.00,88.00,1011.00,223.00,10.00,27.00,2.30
10-03-2009,2.40,7.10,2.30,23.00,22.00,6.00,88.00,1011.00,225.00,9.00,27.00,3.10
11-03-2009,7.10,2.30,3.10,22.00,23.00,4.00,86.00,1011.00,173.00,6.00,27.00,3.10
12-03-2009,2.30,3.10,3.10,22.00,14.00,5.00,84.00,1011.00,177.00,8.00,28.00,2.10
13-03-2009,3.10,3.10,2.10,23.00,25.00,6.00,85.00,1012.00,146.00,9.00,28.00,2.60
14-03-2009,3.10,2.10,2.60,23.00,26.00,5.00,84.00,1011.00,145.00,7.00,28.00,1.30
15-03-2009,2.10,2.60,1.30,22.00,8.00,7.00,83.00,1010.00,145.00,9.00,28.00,0.20
16-03-2009,2.60,1.30,0.20,22.00,14.00,7.00,84.00,1010.00,229.00,10.00,28.00,0.80
17-03-2009,1.30,0.20,0.80,22.00,21.00,11.00,85.00,1009.00,261.00,16.00,28.00,1.60
18-03-2009,0.20,0.80,1.60,23.00,20.00,5.00,85.00,1008.00,305.00,8.00,29.00,4.10
19-03-2009,0.80,1.60,4.10,23.00,21.00,5.00,83.00,1009.00,97.00,8.00,30.00,2.00
20-03-2009,1.60,4.10,2.00,23.00,39.00,3.00,84.00,1010.00,226.00,5.00,29.00,2.90
21-03-2009,4.10,2.00,2.90,23.00,41.00,4.00,87.00,1010.00,206.00,6.00,29.00,8.40
22-03-2009,2.00,2.90,8.40,23.00,31.00,4.00,88.00,1011.00,170.00,6.00,27.00,6.80
23-03-2009,2.90,8.40,6.80,23.00,48.00,6.00,90.00,1012.00,159.00,9.00,26.00,10.80
24-03-2009,8.40,6.80,10.80,23.00,33.00,9.00,87.00,1011.00,105.00,13.00,27.00,6.20
25-03-2009,6.80,10.80,6.20,23.00,33.00,6.00,86.00,1011.00,71.00,10.00,28.00,4.90
26-03-2009,10.80,6.20,4.90,23.00,23.00,6.00,86.00,1012.00,68.00,9.00,28.00,2.40
27-03-2009,6.20,4.90,2.40,23.00,32.00,9.00,88.00,1012.00,118.00,14.00,28.00,5.70
28-03-2009,4.90,2.40,5.70,23.00,40.00,6.00,89.00,1011.00,126.00,10.00,27.00,8.30
29-03-2009,2.40,5.70,8.30,23.00,39.00,6.00,87.00,1010.00,85.00,10.00,28.00,6.50
30-03-2009,5.70,8.30,6.50,24.00,39.00,5.00,88.00,1009.00,132.00,7.00,28.00,12.00
31-03-2009,8.30,6.50,12.00,23.00,33.00,3.00,86.00,1009.00,179.00,6.00,28.00,7.30
01-04-2009,6.50,12.00,7.30,23.00,28.00,4.00,86.00,1008.00,198.00,6.00,29.00,3.70
02-04-2009,12.00,7.30,3.70,24.00,40.00,4.00,87.00,1008.00,115.00,6.00,29.00,7.20
03-04-2009,7.30,3.70,7.20,23.00,59.00,5.00,90.00,1009.00,117.00,8.00,26.00,5.40
04-04-2009,3.70,7.20,5.40,23.00,38.00,10.00,85.00,1010.00,108.00,16.00,28.00,6.40
05-04-2009,7.20,5.40,6.40,24.00,55.00,6.00,89.00,1010.00,107.00,10.00,27.00,13.70
06-04-2009,5.40,6.40,13.70,24.00,67.00,8.00,92.00,1009.00,100.00,12.00,26.00,14.40
07-04-2009,6.40,13.70,14.40,23.00,74.00,4.00,91.00,1009.00,134.00,7.00,26.00,14.00
08-04-2009,13.70,14.40,14.00,23.00,41.00,6.00,87.00,1009.00,94.00,8.00,28.00,3.90
09-04-2009,14.40,14.00,3.90,23.00,34.00,10.00,84.00,1009.00,90.00,15.00,29.00,1.40
10-04-2009,14.00,3.90,1.40,24.00,36.00,8.00,88.00,1008.00,125.00,12.00,28.00,3.20
11-04-2009,3.90,1.40,3.20,24.00,42.00,6.00,89.00,1009.00,128.00,9.00,28.00,6.70
12-04-2009,1.40,3.20,6.70,24.00,29.00,6.00,88.00,1009.00,125.00,9.00,29.00,7.00
13-04-2009,3.20,6.70,7.00,24.00,32.00,5.00,88.00,1009.00,133.00,8.00,28.00,5.90
14-04-2009,6.70,7.00,5.90,24.00,32.00,6.00,90.00,1008.00,131.00,9.00,28.00,7.50
15-04-2009,7.00,5.90,7.50,24.00,26.00,5.00,90.00,1010.00,145.00,8.00,28.00,9.80
16-04-2009,5.90,7.50,9.80,24.00,25.00,6.00,88.00,1010.00,126.00,9.00,28.00,3.20
17-04-2009,7.50,9.80,3.20,23.00,11.00,8.00,86.00,1010.00,123.00,12.00,29.00,1.50
18-04-2009,9.80,3.20,1.50,23.00,29.00,6.00,87.00,1011.00,106.00,10.00,29.00,6.80
19-04-2009,3.20,1.50,6.80,24.00,44.00,6.00,89.00,1011.00,151.00,9.00,28.00,10.50
20-04-2009,1.50,6.80,10.50,23.00,57.00,4.00,91.00,1010.00,199.00,7.00,25.00,3.80
21-04-2009,6.80,10.50,3.80,23.00,44.00,4.00,89.00,1009.00,164.00,5.00,26.00,4.90
22-04-2009,10.50,3.80,4.90,23.00,45.00,5.00,88.00,1010.00,100.00,8.00,28.00,6.30
23-04-2009,3.80,4.90,6.30,24.00,39.00,5.00,87.00,1011.00,135.00,8.00,28.00,7.90
24-04-2009,4.90,6.30,7.90,24.00,43.00,6.00,87.00,1011.00,148.00,9.00,28.00,10.80
25-04-2009,6.30,7.90,10.80,24.00,42.00,3.00,91.00,1012.00,214.00,5.00,26.00,6.00
26-04-2009,7.90,10.80,6.00,24.00,29.00,5.00,88.00,1011.00,132.00,7.00,28.00,6.00
27-04-2009,10.80,6.00,6.00,23.00,39.00,6.00,87.00,1011.00,98.00,9.00,28.00,5.40
28-04-2009,6.00,6.00,5.40,23.00,25.00,9.00,87.00,1012.00,112.00,13.00,28.00,2.30
29-04-2009,6.00,5.40,2.30,23.00,27.00,11.00,88.00,1012.00,117.00,16.00,27.00,4.30
30-04-2009,5.40,2.30,4.30,23.00,26.00,10.00,87.00,1011.00,113.00,16.00,27.00,3.70
01-05-2009,2.30,4.30,3.70,22.00,23.00,11.00,83.00,1011.00,107.00,18.00,28.00,1.70
02-05-2009,4.30,3.70,1.70,22.00,12.00,13.00,82.00,1011.00,111.00,21.00,28.00,1.10
03-05-2009,3.70,1.70,1.10,22.00,7.00,10.00,82.00,1011.00,130.00,14.00,29.00,0.70
04-05-2009,1.70,1.10,0.70,23.00,19.00,10.00,86.00,1011.00,125.00,15.00,28.00,3.30
05-05-2009,1.10,0.70,3.30,23.00,39.00,12.00,88.00,1010.00,113.00,19.00,28.00,6.60
06-05-2009,0.70,3.30,6.60,24.00,34.00,7.00,87.00,1010.00,108.00,11.00,29.00,5.80
07-05-2009,3.30,6.60,5.80,24.00,28.00,9.00,88.00,1009.00,117.00,13.00,28.00,6.20
08-05-2009,6.60,5.80,6.20,23.00,26.00,7.00,87.00,1009.00,108.00,11.00,28.00,4.60
09-05-2009,5.80,6.20,4.60,23.00,36.00,9.00,87.00,1009.00,112.00,14.00,28.00,6.30
10-05-2009,6.20,4.60,6.30,24.00,55.00,7.00,88.00,1009.00,132.00,11.00,27.00,3.10
11-05-2009,4.60,6.30,3.10,23.00,47.00,5.00,83.00,1009.00,48.00,8.00,29.00,1.60
12-05-2009,6.30,3.10,1.60,23.00,40.00,6.00,82.00,1009.00,78.00,10.00,29.00,2.70
13-05-2009,3.10,1.60,2.70,23.00,29.00,5.00,83.00,1007.00,55.00,8.00,29.00,2.70
14-05-2009,1.60,2.70,2.70,23.00,33.00,5.00,83.00,1006.00,90.00,8.00,29.00,3.00
15-05-2009,2.70,2.70,3.00,24.00,28.00,8.00,85.00,1008.00,100.00,12.00,29.00,1.50
16-05-2009,2.70,3.00,1.50,23.00,25.00,6.00,83.00,1009.00,176.00,10.00,29.00,1.80
17-05-2009,3.00,1.50,1.80,24.00,24.00,5.00,86.00,1010.00,235.00,8.00,28.00,3.70
18-05-2009,1.50,1.80,3.70,24.00,36.00,7.00,87.00,1010.00,265.00,10.00,28.00,6.10
19-05-2009,1.80,3.70,6.10,24.00,39.00,4.00,86.00,1010.00,274.00,6.00,28.00,6.70
20-05-2009,3.70,6.10,6.70,23.00,29.00,5.00,86.00,1010.00,199.00,7.00,28.00,5.20
21-05-2009,6.10,6.70,5.20,23.00,54.00,5.00,90.00,1010.00,105.00,7.00,25.00,7.60
22-05-2009,6.70,5.20,7.60,23.00,53.00,7.00,90.00,1011.00,125.00,10.00,26.00,6.60
23-05-2009,5.20,7.60,6.60,23.00,38.00,9.00,88.00,1009.00,123.00,13.00,28.00,4.30
24-05-2009,7.60,6.60,4.30,23.00,31.00,7.00,87.00,1008.00,92.00,10.00,28.00,4.50
25-05-2009,6.60,4.30,4.50,23.00,27.00,7.00,86.00,1008.00,88.00,12.00,28.00,5.10
26-05-2009,4.30,4.50,5.10,23.00,57.00,4.00,90.00,1010.00,143.00,7.00,25.00,8.10
27-05-2009,4.50,5.10,8.10,23.00,35.00,7.00,87.00,1010.00,139.00,10.00,28.00,3.60
28-05-2009,5.10,8.10,3.60,23.00,34.00,11.00,87.00,1009.00,132.00,16.00,27.00,4.30
29-05-2009,8.10,3.60,4.30,23.00,47.00,11.00,88.00,1011.00,124.00,16.00,27.00,4.20
30-05-2009,3.60,4.30,4.20,23.00,40.00,11.00,88.00,1011.00,120.00,16.00,27.00,5.20
31-05-2009,4.30,4.20,5.20,23.00,49.00,9.00,90.00,1011.00,109.00,13.00,27.00,7.00
01-06-2009,4.20,5.20,7.00,23.00,37.00,9.00,89.00,1011.00,88.00,14.00,27.00,4.60
02-06-2009,5.20,7.00,4.60,23.00,26.00,9.00,87.00,1011.00,106.00,14.00,28.00,4.80
03-06-2009,7.00,4.60,4.80,23.00,28.00,11.00,88.00,1011.00,122.00,16.00,27.00,4.20
04-06-2009,4.60,4.80,4.20,23.00,33.00,10.00,89.00,1011.00,132.00,15.00,27.00,4.70
05-06-2009,4.80,4.20,4.70,23.00,14.00,9.00,84.00,1010.00,119.00,13.00,28.00,1.20
06-06-2009,4.20,4.70,1.20,23.00,20.00,6.00,86.00,1010.00,107.00,9.00,28.00,2.10
07-06-2009,4.70,1.20,2.10,23.00,14.00,6.00,84.00,1010.00,111.00,10.00,29.00,4.50
08-06-2009,1.20,2.10,4.50,23.00,44.00,7.00,86.00,1012.00,83.00,10.00,28.00,9.50
09-06-2009,2.10,4.50,9.50,23.00,30.00,6.00,83.00,1012.00,90.00,9.00,29.00,2.80
10-06-2009,4.50,9.50,2.80,23.00,32.00,4.00,85.00,1012.00,75.00,6.00,28.00,1.60
11-06-2009,9.50,2.80,1.60,22.00,20.00,8.00,84.00,1011.00,82.00,12.00,28.00,2.00
12-06-2009,2.80,1.60,2.00,23.00,18.00,9.00,86.00,1012.00,119.00,14.00,28.00,2.70
13-06-2009,1.60,2.00,2.70,23.00,10.00,12.00,84.00,1012.00,123.00,17.00,28.00,1.40
14-06-2009,2.00,2.70,1.40,22.00,6.00,9.00,82.00,1012.00,115.00,13.00,29.00,1.70
15-06-2009,2.70,1.40,1.70,22.00,6.00,9.00,80.00,1010.00,111.00,14.00,29.00,0.80
16-06-2009,1.40,1.70,0.80,22.00,22.00,6.00,84.00,1010.00,99.00,8.00,28.00,2.60
17-06-2009,1.70,0.80,2.60,22.00,25.00,7.00,83.00,1011.00,84.00,11.00,28.00,2.10
18-06-2009,0.80,2.60,2.10,21.00,12.00,12.00,81.00,1011.00,88.00,18.00,28.00,0.20
19-06-2009,2.60,2.10,0.20,22.00,14.00,16.00,84.00,1011.00,111.00,24.00,27.00,0.40
20-06-2009,2.10,0.20,0.40,21.00,6.00,16.00,79.00,1011.00,114.00,26.00,29.00,0.10
21-06-2009,0.20,0.40,0.10,21.00,7.00,17.00,81.00,1011.00,122.00,25.00,28.00,0.20
22-06-2009,0.40,0.10,0.20,22.00,21.00,12.00,84.00,1011.00,129.00,19.00,28.00,0.30
23-06-2009,0.10,0.20,0.30,22.00,25.00,9.00,85.00,1010.00,117.00,14.00,28.00,2.70
24-06-2009,0.20,0.30,2.70,22.00,13.00,9.00,81.00,1010.00,138.00,13.00,28.00,0.10
25-06-2009,0.30,2.70,0.10,21.00,6.00,10.00,78.00,1010.00,112.00,14.00,29.00,0.10
26-06-2009,2.70,0.10,0.10,21.00,6.00,12.00,80.00,1011.00,118.00,18.00,28.00,0.50
27-06-2009,0.10,0.10,0.50,22.00,13.00,12.00,81.00,1010.00,114.00,17.00,29.00,0.60
28-06-2009,0.10,0.50,0.60,23.00,32.00,12.00,84.00,1010.00,111.00,17.00,28.00,3.70
29-06-2009,0.50,0.60,3.70,22.00,21.00,10.00,84.00,1011.00,120.00,15.00,28.00,1.80
30-06-2009,0.60,3.70,1.80,21.00,8.00,14.00,77.00,1011.00,118.00,22.00,29.00,0.00
01-07-2009,3.70,1.80,0.00,21.00,20.00,13.00,82.00,1012.00,109.00,20.00,28.00,0.60
02-07-2009,1.80,0.00,0.60,22.00,24.00,10.00,82.00,1011.00,124.00,15.00,29.00,3.40
03-07-2009,0.00,0.60,3.40,23.00,24.00,8.00,85.00,1011.00,110.00,12.00,28.00,4.60
04-07-2009,0.60,3.40,4.60,23.00,33.00,10.00,87.00,1011.00,132.00,15.00,27.00,4.60
05-07-2009,3.40,4.60,4.60,22.00,11.00,12.00,84.00,1011.00,117.00,18.00,27.00,0.80
06-07-2009,4.60,4.60,0.80,22.00,7.00,13.00,83.00,1011.00,117.00,19.00,28.00,0.10
07-07-2009,4.60,0.80,0.10,21.00,13.00,14.00,80.00,1012.00,120.00,20.00,28.00,0.20
08-07-2009,0.80,0.10,0.20,20.00,5.00,13.00,77.00,1011.00,119.00,20.00,28.00,0.00
09-07-2009,0.10,0.20,0.00,21.00,8.00,11.00,79.00,1011.00,129.00,15.00,28.00,0.10
10-07-2009,0.20,0.00,0.10,21.00,8.00,15.00,78.00,1011.00,133.00,21.00,28.00,0.00
11-07-2009,0.00,0.10,0.00,20.00,3.00,14.00,78.00,1011.00,132.00,20.00,27.00,0.00
12-07-2009,0.10,0.00,0.00,19.00,1.00,16.00,76.00,1011.00,125.00,25.00,27.00,0.00
13-07-2009,0.00,0.00,0.00,19.00,7.00,15.00,75.00,1011.00,118.00,23.00,27.00,0.00
14-07-2009,0.00,0.00,0.00,20.00,12.00,14.00,77.00,1011.00,117.00,21.00,28.00,0.00
15-07-2009,0.00,0.00,0.00,21.00,23.00,12.00,80.00,1011.00,116.00,18.00,28.00,0.60
16-07-2009,0.00,0.00,0.60,21.00,24.00,17.00,78.00,1012.00,126.00,25.00,28.00,0.00
17-07-2009,0.00,0.60,0.00,21.00,28.00,15.00,79.00,1011.00,136.00,21.00,27.00,0.20
18-07-2009,0.60,0.00,0.20,20.00,49.00,13.00,77.00,1011.00,121.00,18.00,27.00,0.00
19-07-2009,0.00,0.20,0.00,21.00,32.00,10.00,79.00,1012.00,116.00,14.00,28.00,0.00
20-07-2009,0.20,0.00,0.00,21.00,23.00,13.00,81.00,1013.00,133.00,19.00,27.00,0.00
21-07-2009,0.00,0.00,0.00,21.00,25.00,16.00,82.00,1013.00,134.00,22.00,28.00,0.50
22-07-2009,0.00,0.00,0.50,22.00,45.00,14.00,86.00,1011.00,124.00,20.00,27.00,0.30
23-07-2009,0.00,0.50,0.30,22.00,36.00,11.00,87.00,1011.00,130.00,16.00,27.00,2.70
24-07-2009,0.50,0.30,2.70,23.00,57.00,8.00,89.00,1012.00,134.00,11.00,27.00,6.30
25-07-2009,0.30,2.70,6.30,23.00,45.00,12.00,90.00,1012.00,123.00,19.00,27.00,5.10
26-07-2009,2.70,6.30,5.10,22.00,22.00,16.00,83.00,1012.00,114.00,23.00,28.00,0.00
27-07-2009,6.30,5.10,0.00,21.00,8.00,17.00,84.00,1013.00,118.00,24.00,27.00,0.00
28-07-2009,5.10,0.00,0.00,21.00,10.00,18.00,83.00,1013.00,127.00,26.00,27.00,0.00
29-07-2009,0.00,0.00,0.00,20.00,14.00,17.00,80.00,1014.00,136.00,25.00,27.00,0.00
30-07-2009,0.00,0.00,0.00,19.00,18.00,13.00,79.00,1013.00,138.00,19.00,27.00,0.00
31-07-2009,0.00,0.00,0.00,20.00,24.00,9.00,79.00,1012.00,125.00,13.00,27.00,0.00
01-08-2009,0.00,0.00,0.00,20.00,31.00,14.00,77.00,1011.00,125.00,20.00,27.00,0.00
02-08-2009,0.00,0.00,0.00,20.00,13.00,13.00,79.00,1012.00,127.00,19.00,27.00,0.00
03-08-2009,0.00,0.00,0.00,20.00,16.00,17.00,80.00,1012.00,119.00,24.00,27.00,0.00
04-08-2009,0.00,0.00,0.00,21.00,41.00,12.00,80.00,1011.00,124.00,18.00,27.00,0.40
05-08-2009,0.00,0.00,0.40,21.00,31.00,12.00,79.00,1011.00,117.00,18.00,29.00,0.00
06-08-2009,0.00,0.40,0.00,21.00,19.00,10.00,78.00,1011.00,128.00,14.00,29.00,0.00
07-08-2009,0.40,0.00,0.00,21.00,22.00,13.00,81.00,1011.00,137.00,18.00,27.00,0.00
08-08-2009,0.00,0.00,0.00,20.00,41.00,12.00,81.00,1010.00,131.00,18.00,27.00,0.60
09-08-2009,0.00,0.00,0.60,20.00,35.00,12.00,79.00,1010.00,125.00,17.00,27.00,0.20
10-08-2009,0.00,0.60,0.20,20.00,25.00,10.00,78.00,1011.00,129.00,15.00,28.00,0.10
11-08-2009,0.60,0.20,0.10,21.00,37.00,11.00,81.00,1012.00,138.00,14.00,28.00,0.00
12-08-2009,0.20,0.10,0.00,22.00,37.00,10.00,84.00,1011.00,143.00,15.00,27.00,0.20
13-08-2009,0.10,0.00,0.20,22.00,36.00,13.00,87.00,1011.00,126.00,19.00,27.00,0.00
14-08-2009,0.00,0.20,0.00,21.00,27.00,12.00,84.00,1011.00,127.00,18.00,27.00,0.00
15-08-2009,0.20,0.00,0.00,21.00,28.00,9.00,83.00,1012.00,131.00,13.00,28.00,0.00
16-08-2009,0.00,0.00,0.00,22.00,14.00,9.00,82.00,1011.00,124.00,13.00,29.00,0.00
17-08-2009,0.00,0.00,0.00,22.00,18.00,12.00,85.00,1011.00,120.00,18.00,28.00,3.40
18-08-2009,0.00,0.00,3.40,21.00,12.00,16.00,83.00,1012.00,118.00,24.00,27.00,0.10
19-08-2009,0.00,3.40,0.10,20.00,5.00,19.00,79.00,1013.00,123.00,28.00,28.00,0.00
20-08-2009,3.40,0.10,0.00,20.00,9.00,15.00,80.00,1013.00,132.00,21.00,28.00,0.00
21-08-2009,0.10,0.00,0.00,20.00,22.00,11.00,83.00,1012.00,145.00,15.00,26.00,0.00
22-08-2009,0.00,0.00,0.00,21.00,36.00,13.00,84.00,1012.00,132.00,19.00,27.00,0.60
23-08-2009,0.00,0.00,0.60,21.00,35.00,15.00,80.00,1012.00,125.00,20.00,27.00,0.30
24-08-2009,0.00,0.60,0.30,20.00,19.00,14.00,76.00,1012.00,128.00,20.00,28.00,0.00
25-08-2009,0.60,0.30,0.00,20.00,30.00,13.00,76.00,1012.00,127.00,19.00,28.00,0.10
26-08-2009,0.30,0.00,0.10,20.00,24.00,13.00,74.00,1012.00,125.00,18.00,28.00,0.00
27-08-2009,0.00,0.10,0.00,20.00,8.00,12.00,75.00,1012.00,132.00,17.00,29.00,0.00
28-08-2009,0.10,0.00,0.00,20.00,5.00,10.00,76.00,1012.00,130.00,14.00,29.00,0.00
29-08-2009,0.00,0.00,0.00,20.00,8.00,16.00,78.00,1013.00,128.00,22.00,28.00,0.00
30-08-2009,0.00,0.00,0.00,20.00,33.00,15.00,80.00,1012.00,130.00,21.00,29.00,0.00
31-08-2009,0.00,0.00,0.00,21.00,41.00,14.00,82.00,1013.00,138.00,18.00,28.00,0.00
01-09-2009,0.00,0.00,0.00,21.00,47.00,11.00,83.00,1013.00,154.00,15.00,27.00,0.00
02-09-2009,0.00,0.00,0.00,21.00,57.00,11.00,84.00,1012.00,150.00,15.00,26.00,0.00
03-09-2009,0.00,0.00,0.00,21.00,51.00,12.00,83.00,1011.00,140.00,17.00,27.00,0.10
04-09-2009,0.00,0.00,0.10,22.00,53.00,11.00,85.00,1012.00,152.00,16.00,27.00,3.40
05-09-2009,0.00,0.10,3.40,21.00,34.00,13.00,82.00,1012.00,127.00,18.00,28.00,0.10
